product url,ASIN,title,price,total ratings,out of 5
https://amazon.in//sspa/click?ie=UTF8&spc=MTozMzEyNjI5NDQ2NjIyMDU6MTY3ODAzODk0NjpzcF9hdGY6MjAwNjUwMzkwNzk5OTg6OjA6Og&url=%2FSONATA-GOLD-Wireless-Sweatproof-Activity%2Fdp%2FB0B87SQJLW%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dsmart%2Bhand%2Bband%26qid%3D1678038946%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,B0B87SQJLW,SONATA GOLD Smart Band Wireless Sweatproof Fitness Band S6-4| Activity Tracker| Blood Pressure| Heart Rate Sensor | Step Tracking All Android Device & iOS Device,₹999,645,3.9 out of 5 stars
https://amazon.in//sspa/click?ie=UTF8&spc=MTozMzEyNjI5NDQ2NjIyMDU6MTY3ODAzODk0NjpzcF9hdGY6MjAwMjM2NzU1MTMwOTg6OjA6Og&url=%2FHadwin-Wireless-Sweatproof-Activity-Band-M6-Black%2Fdp%2FB09PH6W574%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dsmart%2Bhand%2Bband%26qid%3D1678038946%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,B09PH6W574,Hadwin Smart Band Wireless Sweatproof Fitness Band | Activity Tracker| Blood Pressure| Heart Rate Sensor | Step Tracking | Call & Messages Notifications|All Android Device & iOS Device (Dark Black),₹549,38,3.0 out of 5 stars
https://amazon.in//Sharmila-Bluetooth-Usmartech-Processor-ID/dp/B0B1HSL81T/ref=sr_1_3?keywords=smart+hand+band&qid=1678038946&sr=8-3,B0B1HSL81T,Sharmila Traders ID116 Plus Bluetooth Smart Band Watch Aqua Hydra Band Watch Hardcore Plus Advance Usmartech Modern Processor Android vesrion Volta Hand Watch(Modle ID 116_18),₹329,,
https://amazon.in//PunnkFunnk-PFM4-Fitness-Activity-Tracking/dp/B09MVWY8SY/ref=sr_1_4?keywords=smart+hand+band&qid=1678038946&sr=8-4,B09MVWY8SY,PunnkFunnk PFM4 Smart Band & Fitness Band & Activity Tracker & Heart Rate Sensor & Step Tracking All Android Device & iOS Device (Black),₹449,52,3.7 out of 5 stars
https://amazon.in//SHOPTOSHOP-Activity-Tracker-Bluetooth-Black/dp/B084SZT76Y/ref=sr_1_5?keywords=smart+hand+band&qid=1678038946&sr=8-5,B084SZT76Y,"SHOPTOSHOP Smart Band 2.51 – Fitness Band, 1.1-inch Color Display, USB Charging, 3 Days Battery Life, Activity Tracker, Men’s and Women’s Health Tracking (Black)",₹499,"2,684",3.1 out of 5 stars
https://amazon.in//SHREE-Intelligence-Bluetooth-Smartwatch-Compatible/dp/B09YLVXMMW/ref=sr_1_6?keywords=smart+hand+band&qid=1678038946&sr=8-6,B09YLVXMMW,"SHREE NOVA® M4 Intelligence Bluetooth Wrist Smartwatch Band with Activity Tracker, Bracelet Watch, Smart Fitness Band with Heart Rate Sensor Compatible All Androids iOS Phone",₹320,46,2.9 out of 5 stars
https://amazon.in//Jamsbond-Bluetooth-Waterproof-Functions-Touchscreen/dp/B083ZY5BBW/ref=sr_1_7?keywords=smart+hand+band&qid=1678038946&sr=8-7,B083ZY5BBW,"INGILTRA Jamsbond M4 Bluetooth Wrist Smart Band with Activity Tracker Waterproof Body Functions Like Steps Counter, Calorie Counter, Blood Pressure, Heart Rate Monitor LED Touchscreen",₹499.,138,3.0 out of 5 stars
https://amazon.in//Generation-Bluetooth-Activity-Waterproof-Touchscreen/dp/B09PZ33177/ref=sr_1_8?keywords=smart+hand+band&qid=1678038946&sr=8-8,B09PZ33177,"AJO Smart Watch New Generation Bluetooth Smart Fitness Band Watch with Heart Rate Activity Tracker Waterproof Body, Calorie Counter, Blood Pressure OLED Touchscreen for Men/Women",₹599,490,3.4 out of 5 stars
https://amazon.in//Sharmila-Bluetooth-Usmartech-Processor-ID/dp/B0B1HQTY9L/ref=sr_1_9?keywords=smart+hand+band&qid=1678038946&sr=8-9,B0B1HQTY9L,Sharmila Traders ID116 Plus Bluetooth Smart Band Watch Aqua Hydra Band Watch Hardcore Plus Advance Usmartech Modern Processor Android vesrion Volta Hand Watch(Modle ID 116_16),₹329,5,3.3 out of 5 stars
https://amazon.in//Sharmila-Bluetooth-Usmartech-Processor-ID/dp/B0B1HSGLQ8/ref=sr_1_10?keywords=smart+hand+band&qid=1678038946&sr=8-10,B0B1HSGLQ8,Sharmila Traders ID116 Plus Bluetooth Smart Band Watch Aqua Hydra Band Watch Hardcore Plus Advance Usmartech Modern Processor Android vesrion Volta Hand Watch(Modle ID 116_17),₹320,,
